id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
34911;1930;0.000264;0.000225;0.5625
34656;1929;0.000242;0.000182;0.5625
34674;1928;0.000249;0.000242;0.5625
34939;1927;0.00023;0.000237;0.5625
34609;1926;0.000234;0.000253;0.5625
34867;1925;0.000218;0.000227;0.5625
34675;1924;0.000219;0.000241;0.5625
34863;1923;0.000212;0.000211;0.5625
34866;1922;0.000233;0.000259;0.5625
34724;1921;0.000219;0.000235;0.5625
34676;1920;0.000179;0.000314;0.5625
34665;1919;0.000162;0.00024;0.5625
34594;1918;0.00019;0.000283;0.5625
34595;1917;0.00017;0.000269;0.5625
34677;1916;0.000151;0.000248;0.5625
34689;1915;0.000147;0.000176;0.5625
19283920;1914;0.000171;0.00028;0.5625
34617;1913;0.000152;0.000206;0.5625
34616;1912;0.000162;0.00017;0.5625
34605;1911;0.000153;0.000185;0.5625
34690;1910;0.000153;0.000116;0.5625
19283284;1909;0.00014;0.000101;0.5625
34600;1908;0.000156;0.000145;0.5625
34649;1907;0.000146;0.00015;0.5625
34650;1906;0.000142;0.000113;0.5625
34637;1905;0.000137;0.00017;0.5625
34651;1904;0.000142;0.000173;0.5625
34639;1903;0.00014;0.00018;0.5625
34652;1902;0.000126;0.000156;0.5625
34618;1901;0.000127;0.000187;0.5625
34653;1900;0.000135;0.000193;0.5625
34790;1899;0.000187;0.000181;0.5625
34791;1898;0.000207;0.000138;0.5625
34714;1897;0.000196;0.000136;0.5625
34668;1896;0.00019;0.00012;0.5625
34679;1895;0.000207;0.000147;0.5625
34792;1894;0.000168;0.000117;0.5625
34713;1893;0.000185;0.00014;0.5625
34793;1892;0.000191;0.000148;0.5625
34794;1891;0.00017;0.000113;0.5625
34707;1890;0.000189;0.00014;0.5625
34711;1889;0.000178;0.000142;0.5625
34712;1888;0.00017;0.000153;0.5625
34777;1887;0.00017;0.000131;0.5625
34845;1886;0.000158;0.00013;0.5625
34715;1885;0.000169;0.000123;0.5625
34844;1884;0.000154;0.000104;0.5625
34701;1883;0.000143;0.000128;0.5625
34772;1882;0.000161;0.000132;0.5625
34716;1881;0.00015;0.000107;0.5625
34773;1880;0.000157;0.000102;0.5625
34968;1879;0.000144;0.000118;0.5625
34938;1878;0.000145;0.000099;0.5625
34771;1877;0.00012;0.00009;0.5625
34725;1876;0.000144;0.000117;0.5625
34763;1875;0.00013;0.000101;0.5625
34770;1874;0.000131;0.000099;0.5625
34746;1873;0.00014;0.000123;0.5625
34768;1872;0.000133;0.000081;0.5625
34767;1871;0.000124;0.000091;0.5625
34769;1870;0.000154;0.000102;0.5625
34789;1869;0.00013;0.000093;0.5625
34788;1868;0.000146;0.000105;0.5625
34787;1867;0.000139;0.000112;0.5625
34667;1866;0.000137;0.000083;0.5625
34623;1865;0.000151;0.000128;0.5625
34786;1864;0.000154;0.000131;0.5625
34641;1863;0.000151;0.000129;0.5625
34785;1862;0.000142;0.000142;0.5625
34680;1861;0.000155;0.000115;0.5625
34646;1859;0.000116;0.000097;0.5625
34937;1858;0.000111;0.000079;0.5625
34762;1857;0.000117;0.000087;0.5625
35491;1856;0.000108;0.000095;0.5625
35075;1855;0.000093;0.000058;0.5625
34781;1854;0.000115;0.000092;0.5625
35015;1853;0.000097;0.000076;0.5625
34952;1852;0.000098;0.000072;0.5625
35014;1851;0.000107;0.000078;0.5625
34983;1850;0.000109;0.000162;0.5625
35243;1849;0.000096;0.000078;0.5625
235255;wrench;0.000029;0.000005;0.5
33118;woodworking;0.000144;0.000031;0.6875
33550;wood;0.000599;0.000052;0.8125
33555;wheel;0.000135;0.000048;0.5
44883;welding;0.000166;0.000042;0.625
60883;watch;0.000155;0.000049;0.6875
44365;typewriter;0.000136;0.000067;0.625
18580879;transport;0.000527;0.00008;0.6875
60646;tower bridge;0.000066;0.00003;0.625
105856;three mile island accident;0.000063;0.000041;0.6875
65192;three gorges dam;0.000056;0.00003;0.5625
291453;renormalization;0.000053;0.000038;0.75
26262;redshift;0.000107;0.000068;0.75
42852;radio frequency;0.000262;0.00001;0.6875
25179;quark;0.000138;0.000059;0.75
25267;quantum field theory;0.000226;0.000097;0.75
